"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A07170186",276815,71636130,"SUC LOS CABOS","Operativo","Activo","UNC.CUAD.911.1",31652791,9,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07170186",276815,71636130,"SUC LOS CABOS","Operativo","Activo","UNC.CUAD.907.1",31652789,9,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171084",276257,71634894,"SUC GUADALAJARA VALLE","Operativo","Activo","UNC.CUAD60.904.1.2",31643780,8,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171084",276257,71634894,"SUC GUADALAJARA VALLE","Operativo","Activo","UNC.CUAD60.911.1",31644095,8,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171084",276257,71634894,"SUC GUADALAJARA VALLE","Operativo","Activo","UNC.CUAD60.907.1",31644098,8,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171084",276257,71634894,"SUC GUADALAJARA VALLE","Operativo","Activo","UNC.CUAD60.901.1",31644081,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171078",276235,71634173,"SUC GUADALAJARA CHAPALITA","Operativo","Activo","UNC.CUAD60.904.1.2",31642538,14,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171078",276235,71634173,"SUC GUADALAJARA CHAPALITA","Operativo","Activo","UNC.CUAD60.907.1",31643074,14,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171078",276235,71634173,"SUC GUADALAJARA CHAPALITA","Operativo","Activo","UNC.CUAD60.901.1",31643060,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171078",276235,71634173,"SUC GUADALAJARA CHAPALITA","Operativo","Activo","UNC.CUAD60.911.1",31643076,14,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171053",276219,71634169,"TOLUCA CENTRO","Operativo","Activo","UNC.CUAD60.901.1",31642031,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171053",276219,71634169,"TOLUCA CENTRO","Operativo","Activo","UNC.CUAD60.907.1",31642382,9,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171053",276219,71634169,"TOLUCA CENTRO","Operativo","Activo","UNC.CUAD60.904.1.2",31642045,9,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171053",276219,71634169,"TOLUCA CENTRO","Operativo","Activo","UNC.CUAD60.911.1",31642384,9,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170505",263293,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.911.1.1",31163311,30,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170505",263293,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.907.1",31163312,30,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170505",263293,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","UNC.CUAD.904.1.4",31163314,30,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170504",263291,71427168,"LAMARTINE 346","Operativo","Activo","UNC.CUAD.904.1.4",31163062,20,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170504",263291,71427168,"LAMARTINE 346","Operativo","Activo","UNC.CUAD.907.1",31163211,20,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170504",263291,71427168,"LAMARTINE 346","Operativo","Activo","UNC.CUAD.911.1.1",31163213,20,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
