"cliente","servicio","sitio","idSitio","unc","descr","partId","qty","price","unr","unrId","months","rent","folio","phase"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","CENTRO LILAS LOMAS",,"UNC.CUAD60.904.1.4",,32273944,7,0.01,"UNR.CUAD60.904.1.4",32274206,60,,"A10171373","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","CENTRO LILAS LOMAS",,"UNC.CUAD60.907.1",,32274207,7,0.01,"UNR.CUAD60.907.1",32274208,60,,"A10171373","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LIFE STYLE EL TRIÁNGULO",,"UNC.CUAD60.901.1",,32272901,1,0.01,"UNR.CUAD60.901.1",32272914,60,,"A10171386","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LIFE STYLE EL TRIÁNGULO",,"UNC.CUAD60.904.1.4",,32272915,1,0.01,"UNR.CUAD60.904.1.4",32273186,60,,"A10171386","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LIFE STYLE EL TRIÁNGULO",,"UNC.CUAD60.904.1.4",,32272915,1,0.01,"UNR.CUAD60.904.1.4",32272955,60,,"A10171386","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LIFE STYLE EL TRIÁNGULO",,"UNC.CUAD60.904.1.4",,32272915,1,0.01,"UNR.CUAD60.904.1.4",32273186,60,,"A10171387","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LIFE STYLE EL TRIÁNGULO",,"UNC.CUAD60.907.1",,32273187,7,0.01,"UNR.CUAD60.907.1",32273188,60,,"A10171387","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LIFE STYLE EL TRIÁNGULO",,"UNC.CUAD60.904.1.4",,32272961,6,0.01,"UNR.CUAD60.904.1.4",32273186,60,,"A10171387","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PLAZA ANAHUAC MONTERREY",,"UNC.CUAD60.904.1.4",,32272510,7,0.01,"UNR.CUAD60.904.1.4",32272772,60,,"A10171383","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PLAZA ANAHUAC MONTERREY",,"UNC.CUAD60.901.1",,32272496,1,0.01,"UNR.CUAD60.901.1",32272509,60,,"A10171383","Operativo"
