"folio","oa","servicio","siteId","alcance","partId","sku"
"A09120038",,"CUAD-CISCO",71283486,5,24716266,"UNC.CUAD.911.1"
"A09120038",,"CUAD-CISCO",71283486,2,24716268,"UNC.CUAD.901.1"
"A10120033",,"CUAD-CISCO",70114431,9,24757865,"UNC.CUAD.905.1"
"A10120036",,"CUAD-CISCO",70114465,5,24757871,"UNC.CUAD.905.1"
"A08120043",,"CUAD-CISCO",71398705,11,24688825,"UNC.CUAD.903.1"
"A08120043",,"CUAD-CISCO",71398705,11,24688827,"UNC.CUAD.911.1"
"A08120043",,"CUAD-CISCO",71398705,3,24688829,"UNC.CUAD.903.1"
"A08120043",,"CUAD-CISCO",71398705,11,24688825,"UNC.CUAD.903.1"
"A10120041",,"CUAD-CISCO",71397789,10,24757879,"UNC.CUAD.905.1"
"A10120055",,"CUAD-CISCO",70114976,5,24757994,"UNC.CUAD.905.1"
"A10120042",,"CUAD-CISCO",70114818,6,24757990,"UNC.CUAD.905.1"
"A10120044",,"CUAD-CISCO",70114750,5,24757984,"UNC.CUAD.905.1"
"A10120052",,"CUAD-CISCO",70114654,5,24757980,"UNC.CUAD.905.1"
"A10120049",,"CUAD-CISCO",70115048,4,24757996,"UNC.CUAD.905.1"
"A10120060",,"CUAD-CISCO",71273523,5,24758309,"UNC.CUAD.905.1"
"A10120043",,"CUAD-CISCO",70114716,5,24757982,"UNC.CUAD.905.1"
"A10120062",,"CUAD-CISCO",71278154,4,24758321,"UNC.CUAD.905.1"
"A10120053",,"CUAD-CISCO",70115424,5,24758000,"UNC.CUAD.905.1"
"A10120045",,"CUAD-CISCO",70114759,5,24757986,"UNC.CUAD.905.1"
"A10120061",,"CUAD-CISCO",71278151,4,24758319,"UNC.CUAD.905.1"
"A10120059",,"CUAD-CISCO",71273520,4,24758307,"UNC.CUAD.905.1"
"A10120081",,"CUAD-CISCO",71283484,4,24758574,"UNC.CUAD.905.1"
"A10120120",,"CUAD-CISCO",70114716,5,24684052,"UNC.CUAD.911.1"
"A10120072",,"CUAD-CISCO",70122007,5,24758293,"UNC.CUAD.905.1"
"A10120080",,"CUAD-CISCO",71284750,5,24758580,"UNC.CUAD.905.1"
"A10120121",,"CUAD-CISCO",70114750,5,24684068,"UNC.CUAD.903.1"
"A10120121",,"CUAD-CISCO",70114750,3,24684070,"UNC.CUAD.901.1"
"A10120121",,"CUAD-CISCO",70114750,5,24684072,"UNC.CUAD.911.1"
"A10120086",,"CUAD-CISCO",71278157,4,24758560,"UNC.CUAD.905.1"
"A10120082",,"CUAD-CISCO",71280866,12,24758570,"UNC.CUAD.905.1"
"A10120079",,"CUAD-CISCO",71283481,5,24758572,"UNC.CUAD.905.1"
"A10120118",,"CUAD-CISCO",70114465,5,24683995,"UNC.CUAD.903.1"
"A10120118",,"CUAD-CISCO",70114465,2,24683997,"UNC.CUAD.901.1"
"A10120118",,"CUAD-CISCO",70114465,5,24683999,"UNC.CUAD.911.1"
"A10120056",,"CUAD-CISCO",70114966,4,24757992,"UNC.CUAD.905.1"
"A10120071",,"CUAD-CISCO",71238343,5,24758301,"UNC.CUAD.905.1"
"A10120064",,"CUAD-CISCO",71277199,4,24758317,"UNC.CUAD.905.1"
"A10120074",,"CUAD-CISCO",71278155,5,24758323,"UNC.CUAD.905.1"
"A10120077",,"CUAD-CISCO",71299082,4,24758586,"UNC.CUAD.905.1"
"A10120119",,"CUAD-CISCO",70114716,5,24684040,"UNC.CUAD.903.1"
"A10120119",,"CUAD-CISCO",70114716,2,24684042,"UNC.CUAD.901.1"
